sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,I-Alinea,une,7,612,792,GCDQNG+ArialMT,#000,488,507,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,courte,7,612,792,GCDQNG+ArialMT,#000,509,540,409,420,5161,11,P,Document;Sect;P
O,I-Alinea,"durée,",7,612,792,GCDQNG+ArialMT,#000,165,196,422,433,5174,11,P,Document;Sect;P
O,I-Alinea,incluant,7,612,792,GCDQNG+ArialMT,#000,199,237,422,433,5174,11,P,Document;Sect;P
O,I-Alinea,un,7,612,792,GCDQNG+ArialMT,#000,241,253,422,433,5174,11,P,Document;Sect;P
O,I-Alinea,service,7,612,792,GCDQNG+ArialMT,#000,257,291,422,433,5174,11,P,Document;Sect;P
O,I-Alinea,d'animation,7,612,792,GCDQNG+ArialMT,#000,295,351,422,433,5174,11,P,Document;Sect;P
O,I-Alinea,à,7,612,792,GCDQNG+ArialMT,#000,355,361,422,433,5174,11,P,Document;Sect;P
O,I-Alinea,caractère,7,612,792,GCDQNG+ArialMT,#000,364,410,422,433,5174,11,P,Document;Sect;P
O,I-Alinea,"religieux,",7,612,792,GCDQNG+ArialMT,#000,414,458,422,433,5174,11,P,Document;Sect;P
O,I-Alinea,"communautaire,",7,612,792,GCDQNG+ArialMT,#000,461,540,422,433,5174,11,P,Document;Sect;P
O,I-Alinea,récréatif,7,612,792,GCDQNG+ArialMT,#000,165,204,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,ou,7,612,792,GCDQNG+ArialMT,#000,208,220,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,culturel,7,612,792,GCDQNG+ArialMT,#000,223,259,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,et,7,612,792,GCDQNG+ArialMT,#000,262,271,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,excluant,7,612,792,GCDQNG+ArialMT,#000,275,316,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,les,7,612,792,GCDQNG+ArialMT,#000,319,333,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,services,7,612,792,GCDQNG+ArialMT,#000,336,377,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,"sociaux,",7,612,792,GCDQNG+ArialMT,#000,380,421,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,les,7,612,792,GCDQNG+ArialMT,#000,424,438,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,services,7,612,792,GCDQNG+ArialMT,#000,441,482,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,485,497,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,santé,7,612,792,GCDQNG+ArialMT,#000,501,528,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,et,7,612,792,GCDQNG+ArialMT,#000,531,540,434,445,5186,11,P,Document;Sect;P
O,I-Alinea,les,7,612,792,GCDQNG+ArialMT,#000,165,179,447,458,5199,11,P,Document;Sect;P
O,I-Alinea,services,7,612,792,GCDQNG+ArialMT,#000,188,228,447,458,5199,11,P,Document;Sect;P
O,I-Alinea,individuels.,7,612,792,GCDQNG+ArialMT,#000,238,292,447,458,5199,11,P,Document;Sect;P
O,I-Alinea,Un,7,612,792,GCDQNG+ArialMT,#000,301,315,447,458,5199,11,P,Document;Sect;P
O,I-Alinea,centre,7,612,792,GCDQNG+ArialMT,#000,325,355,447,458,5199,11,P,Document;Sect;P
O,I-Alinea,communautaire,7,612,792,GCDQNG+ArialMT,#000,364,440,447,458,5199,11,P,Document;Sect;P
O,I-Alinea,socio-récréatif,7,612,792,GCDQNG+ArialMT,#000,450,519,447,458,5199,11,P,Document;Sect;P
O,I-Alinea,de,7,612,792,GCDQNG+ArialMT,#000,528,540,447,458,5199,11,P,Document;Sect;P
O,I-Alinea,villégiature,7,612,792,GCDQNG+ArialMT,#000,165,217,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,peut,7,612,792,GCDQNG+ArialMT,#000,224,245,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,comprendre,7,612,792,GCDQNG+ArialMT,#000,252,311,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,un,7,612,792,GCDQNG+ArialMT,#000,318,330,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,logement,7,612,792,GCDQNG+ArialMT,#000,337,382,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,pour,7,612,792,GCDQNG+ArialMT,#000,389,411,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,un,7,612,792,GCDQNG+ArialMT,#000,418,430,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,gardien,7,612,792,GCDQNG+ArialMT,#000,437,473,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,et,7,612,792,GCDQNG+ArialMT,#000,480,489,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,plusieurs,7,612,792,GCDQNG+ArialMT,#000,496,540,460,471,5212,11,P,Document;Sect;P
O,I-Alinea,bâtiments,7,612,792,GCDQNG+ArialMT,#000,165,212,472,483,5224,11,P,Document;Sect;P
O,I-Alinea,sur,7,612,792,GCDQNG+ArialMT,#000,216,231,472,483,5224,11,P,Document;Sect;P
O,I-Alinea,un,7,612,792,GCDQNG+ArialMT,#000,234,246,472,483,5224,11,P,Document;Sect;P
O,I-Alinea,même,7,612,792,GCDQNG+ArialMT,#000,249,280,472,483,5224,11,P,Document;Sect;P
O,I-Alinea,terrain.,7,612,792,GCDQNG+ArialMT,#000,283,317,472,483,5224,11,P,Document;Sect;P
O,B-Alinea,Demande,7,612,792,GCDQNG+ArialMT,#000,165,212,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,:,7,612,792,GCDQNG+ArialMT,#000,215,218,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,demande,7,612,792,GCDQNG+ArialMT,#000,224,270,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,d'autorisation,7,612,792,GCDQNG+ArialMT,#000,275,341,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,d'usage,7,612,792,GCDQNG+ArialMT,#000,346,384,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,conditionnel,7,612,792,GCDQNG+ArialMT,#000,390,448,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,faite,7,612,792,GCDQNG+ArialMT,#000,454,475,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,en,7,612,792,GCDQNG+ArialMT,#000,480,492,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,vertu,7,612,792,GCDQNG+ArialMT,#000,498,522,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,du,7,612,792,GCDQNG+ArialMT,#000,528,540,494,505,5246,12,P,Document;Sect;P
O,I-Alinea,présent,7,612,792,GCDQNG+ArialMT,#000,165,201,507,518,5259,12,P,Document;Sect;P
O,I-Alinea,règlement.,7,612,792,GCDQNG+ArialMT,#000,205,256,507,518,5259,12,P,Document;Sect;P
O,B-Article,23.1.4,7,612,792,GCDQNG+ArialMT,#000,108,139,531,542,5283,13,H3,Document;Sect;H3
O,I-Article,Administration,7,612,792,QZBYXM+Arial-BoldMT,#000,162,238,532,543,5284,13,H3,Document;Sect;H3
O,I-Article,du,7,612,792,QZBYXM+Arial-BoldMT,#000,241,255,532,543,5284,13,H3,Document;Sect;H3
O,I-Article,règlement,7,612,792,QZBYXM+Arial-BoldMT,#000,257,309,532,543,5284,13,H3,Document;Sect;H3
O,B-Alinea,Les,7,612,792,GCDQNG+ArialMT,#000,165,182,550,561,5302,14,P,Document;Sect;P
O,I-Alinea,dispositions,7,612,792,GCDQNG+ArialMT,#000,190,248,550,561,5302,14,P,Document;Sect;P
O,I-Alinea,du,7,612,792,GCDQNG+ArialMT,#000,255,268,550,561,5302,14,P,Document;Sect;P
O,I-Alinea,Règlement,7,612,792,GCDQNG+ArialMT,#000,276,329,550,561,5302,14,P,Document;Sect;P
O,I-Alinea,sur,7,612,792,GCDQNG+ArialMT,#000,337,352,550,561,5302,14,P,Document;Sect;P
O,I-Alinea,l'application,7,612,792,GCDQNG+ArialMT,#000,360,417,550,561,5302,14,P,Document;Sect;P
O,I-Alinea,et,7,612,792,GCDQNG+ArialMT,#000,425,434,550,561,5302,14,P,Document;Sect;P
O,I-Alinea,l'administration,7,612,792,GCDQNG+ArialMT,#000,442,515,550,561,5302,14,P,Document;Sect;P
O,I-Alinea,des,7,612,792,GCDQNG+ArialMT,#000,522,540,550,561,5302,14,P,Document;Sect;P
O,I-Alinea,règlements,7,612,792,GCDQNG+ArialMT,#000,165,219,563,574,5315,14,P,Document;Sect;P
O,I-Alinea,d'urbanisme,7,612,792,GCDQNG+ArialMT,#000,223,283,563,574,5315,14,P,Document;Sect;P
O,I-Alinea,numéro,7,612,792,GCDQNG+ArialMT,#000,287,324,563,574,5315,14,P,Document;Sect;P
B-Numero,I-Alinea,2009-U51,7,612,792,GCDQNG+ArialMT,#000,328,376,563,574,5315,14,P,Document;Sect;P
O,I-Alinea,complètent,7,612,792,GCDQNG+ArialMT,#000,380,434,563,574,5315,14,P,Document;Sect;P
O,I-Alinea,le,7,612,792,GCDQNG+ArialMT,#000,438,447,563,574,5315,14,P,Document;Sect;P
O,I-Alinea,présent,7,612,792,GCDQNG+ArialMT,#000,451,487,563,574,5315,14,P,Document;Sect;P
O,I-Alinea,règlement,7,612,792,GCDQNG+ArialMT,#000,491,540,563,574,5315,14,P,Document;Sect;P
O,I-Alinea,et,7,612,792,GCDQNG+ArialMT,#000,165,174,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,servent,7,612,792,GCDQNG+ArialMT,#000,177,213,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,à,7,612,792,GCDQNG+ArialMT,#000,217,223,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,son,7,612,792,GCDQNG+ArialMT,#000,226,244,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,application.,7,612,792,GCDQNG+ArialMT,#000,247,302,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,L'utilisation,7,612,792,GCDQNG+ArialMT,#000,306,360,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,des,7,612,792,GCDQNG+ArialMT,#000,363,381,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,mots,7,612,792,GCDQNG+ArialMT,#000,384,408,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,"""présent",7,612,792,GCDQNG+ArialMT,#000,411,452,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,"règlement""",7,612,792,GCDQNG+ArialMT,#000,455,508,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,vise,7,612,792,GCDQNG+ArialMT,#000,511,531,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,à,7,612,792,GCDQNG+ArialMT,#000,534,540,575,586,5327,14,P,Document;Sect;P
O,I-Alinea,la,7,612,792,GCDQNG+ArialMT,#000,165,173,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,fois,7,612,792,GCDQNG+ArialMT,#000,176,193,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,le,7,612,792,GCDQNG+ArialMT,#000,196,204,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,présent,7,612,792,GCDQNG+ArialMT,#000,207,244,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,règlement,7,612,792,GCDQNG+ArialMT,#000,246,295,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,et,7,612,792,GCDQNG+ArialMT,#000,298,307,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,le,7,612,792,GCDQNG+ArialMT,#000,310,319,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,Règlement,7,612,792,GCDQNG+ArialMT,#000,321,375,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,sur,7,612,792,GCDQNG+ArialMT,#000,377,393,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,l'application,7,612,792,GCDQNG+ArialMT,#000,395,452,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,et,7,612,792,GCDQNG+ArialMT,#000,455,464,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,l'administration,7,612,792,GCDQNG+ArialMT,#000,467,540,588,599,5340,14,P,Document;Sect;P
O,I-Alinea,des,7,612,792,GCDQNG+ArialMT,#000,165,182,600,611,5352,14,P,Document;Sect;P
O,I-Alinea,règlements,7,612,792,GCDQNG+ArialMT,#000,186,240,600,611,5352,14,P,Document;Sect;P
O,I-Alinea,d'urbanisme,7,612,792,GCDQNG+ArialMT,#000,243,303,600,611,5352,14,P,Document;Sect;P
O,I-Alinea,numéro,7,612,792,GCDQNG+ArialMT,#000,306,343,600,611,5352,14,P,Document;Sect;P
B-Numero,I-Alinea,2009-U51.,7,612,792,GCDQNG+ArialMT,#000,346,397,600,611,5352,14,P,Document;Sect;P
O,B-Article,23.2,7,612,792,QZBYXM+Arial-BoldMT,#000,108,130,632,643,5384,15,H2,Document;Sect;H2
O,I-Article,Usage,7,612,792,QZBYXM+Arial-BoldMT,#000,162,195,632,643,5384,16,Span,Document;Sect;H2;Span
O,I-Article,conditionnel,7,612,792,QZBYXM+Arial-BoldMT,#000,198,264,632,643,5384,16,Span,Document;Sect;H2;Span
O,I-Article,autorisé,7,612,792,QZBYXM+Arial-BoldMT,#000,267,309,632,643,5384,16,Span,Document;Sect;H2;Span
O,I-Article,par,7,612,792,QZBYXM+Arial-BoldMT,#000,313,330,632,643,5384,16,Span,Document;Sect;H2;Span
O,I-Article,zone,7,612,792,QZBYXM+Arial-BoldMT,#000,333,358,632,643,5384,16,Span,Document;Sect;H2;Span
O,B-Article,23.2.1,7,612,792,GCDQNG+ArialMT,#000,108,139,656,667,5408,18,H3,Document;Sect;H3
O,I-Article,Zones,7,612,792,QZBYXM+Arial-BoldMT,#000,162,194,656,667,5408,18,H3,Document;Sect;H3
O,I-Article,prévues,7,612,792,QZBYXM+Arial-BoldMT,#000,197,238,656,667,5408,18,H3,Document;Sect;H3
O,I-Article,par,7,612,792,QZBYXM+Arial-BoldMT,#000,241,258,656,667,5408,18,H3,Document;Sect;H3
