sequence,segment,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,I-Alinea,disposition,6,612,792,ArialMT,#000,296,350,310,322,4270,6,P,Document;P
O,I-Alinea,la,6,612,792,ArialMT,#000,353,362,310,322,4270,6,P,Document;P
O,I-Alinea,plus,6,612,792,ArialMT,#000,365,386,310,322,4270,6,P,Document;P
O,I-Alinea,restrictive,6,612,792,ArialMT,#000,389,438,310,322,4270,6,P,Document;P
O,I-Alinea,s’applique.,6,612,792,ArialMT,#000,441,496,310,322,4270,6,P,Document;P
O,B-Article,10.,6,612,792,Arial-BoldMT,#000,72,89,339,351,4299,7,P,Document;H3
O,I-Article,MODE,6,612,792,Arial-BoldMT,#000,108,144,339,351,4299,7,P,Document;H3
O,I-Article,DE,6,612,792,Arial-BoldMT,#000,147,164,339,351,4299,7,P,Document;H3
O,I-Article,DIVISION,6,612,792,Arial-BoldMT,#000,167,220,339,351,4299,7,P,Document;H3
O,I-Article,DU,6,612,792,Arial-BoldMT,#000,223,241,339,351,4299,7,P,Document;H3
O,I-Article,RÈGLEMENT,6,612,792,Arial-BoldMT,#000,244,319,339,351,4299,7,P,Document;H3
O,B-Alinea,Le,6,612,792,ArialMT,#000,108,121,361,373,4321,8,P,Document;P
O,I-Alinea,présent,6,612,792,ArialMT,#000,124,162,361,373,4321,8,P,Document;P
O,I-Alinea,règlement,6,612,792,ArialMT,#000,165,216,361,373,4321,8,P,Document;P
O,I-Alinea,est,6,612,792,ArialMT,#000,218,234,361,373,4321,8,P,Document;P
O,I-Alinea,d’abord,6,612,792,ArialMT,#000,236,275,361,373,4321,8,P,Document;P
O,I-Alinea,divisé,6,612,792,ArialMT,#000,277,306,361,373,4321,8,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,309,322,361,373,4321,8,P,Document;P
O,I-Alinea,chapitres,6,612,792,ArialMT,#000,324,371,361,373,4321,8,P,Document;P
O,I-Alinea,numérotés,6,612,792,ArialMT,#000,373,428,361,373,4321,8,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,430,444,361,373,4321,8,P,Document;P
O,I-Alinea,chiffres,6,612,792,ArialMT,#000,446,483,361,373,4321,8,P,Document;P
O,I-Alinea,arabes.,6,612,792,ArialMT,#000,485,524,361,373,4321,8,P,Document;P
O,I-Alinea,Au,6,612,792,ArialMT,#000,526,540,361,373,4321,8,P,Document;P
O,I-Alinea,"besoin,",6,612,792,ArialMT,#000,108,145,378,390,4338,8,P,Document;P
O,I-Alinea,chaque,6,612,792,ArialMT,#000,148,186,378,390,4338,8,P,Document;P
O,I-Alinea,chapitre,6,612,792,ArialMT,#000,189,230,378,390,4338,8,P,Document;P
O,I-Alinea,est,6,612,792,ArialMT,#000,233,248,378,390,4338,8,P,Document;P
O,I-Alinea,divisé,6,612,792,ArialMT,#000,251,281,378,390,4338,8,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,283,297,378,390,4338,8,P,Document;P
O,I-Alinea,sections,6,612,792,ArialMT,#000,299,342,378,390,4338,8,P,Document;P
O,I-Alinea,numérotées,6,612,792,ArialMT,#000,345,406,378,390,4338,8,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,408,422,378,390,4338,8,P,Document;P
O,I-Alinea,chiffres,6,612,792,ArialMT,#000,424,461,378,390,4338,8,P,Document;P
O,I-Alinea,arabes.,6,612,792,ArialMT,#000,464,503,378,390,4338,8,P,Document;P
O,B-Alinea,Les,6,612,792,ArialMT,#000,108,127,406,418,4366,9,P,Document;P
O,I-Alinea,articles,6,612,792,ArialMT,#000,130,166,406,418,4366,9,P,Document;P
O,I-Alinea,sont,6,612,792,ArialMT,#000,169,191,406,418,4366,9,P,Document;P
O,I-Alinea,"numérotés,",6,612,792,ArialMT,#000,194,252,406,418,4366,9,P,Document;P
O,I-Alinea,de,6,612,792,ArialMT,#000,255,268,406,418,4366,9,P,Document;P
O,I-Alinea,façon,6,612,792,ArialMT,#000,270,299,406,418,4366,9,P,Document;P
O,I-Alinea,"consécutive,",6,612,792,ArialMT,#000,302,366,406,418,4366,9,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,369,382,406,418,4366,9,P,Document;P
O,I-Alinea,chiffres,6,612,792,ArialMT,#000,385,422,406,418,4366,9,P,Document;P
O,I-Alinea,arabes.,6,612,792,ArialMT,#000,425,463,406,418,4366,9,P,Document;P
O,I-Alinea,Chaque,6,612,792,ArialMT,#000,466,507,406,418,4366,9,P,Document;P
O,I-Alinea,article,6,612,792,ArialMT,#000,510,540,406,418,4366,9,P,Document;P
O,I-Alinea,est,6,612,792,ArialMT,#000,108,124,423,435,4383,9,P,Document;P
O,I-Alinea,ensuite,6,612,792,ArialMT,#000,126,164,423,435,4383,9,P,Document;P
O,I-Alinea,divisé,6,612,792,ArialMT,#000,166,196,423,435,4383,9,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,199,212,423,435,4383,9,P,Document;P
O,I-Alinea,alinéas.,6,612,792,ArialMT,#000,215,254,423,435,4383,9,P,Document;P
O,I-Alinea,Un,6,612,792,ArialMT,#000,257,272,423,435,4383,9,P,Document;P
O,I-Alinea,alinéa,6,612,792,ArialMT,#000,275,306,423,435,4383,9,P,Document;P
O,I-Alinea,n’est,6,612,792,ArialMT,#000,308,333,423,435,4383,9,P,Document;P
O,I-Alinea,précédé,6,612,792,ArialMT,#000,336,378,423,435,4383,9,P,Document;P
O,I-Alinea,d’aucun,6,612,792,ArialMT,#000,380,421,423,435,4383,9,P,Document;P
O,I-Alinea,"chiffre,",6,612,792,ArialMT,#000,424,458,423,435,4383,9,P,Document;P
O,I-Alinea,lettre,6,612,792,ArialMT,#000,461,486,423,435,4383,9,P,Document;P
O,I-Alinea,ni,6,612,792,ArialMT,#000,489,498,423,435,4383,9,P,Document;P
O,I-Alinea,marque,6,612,792,ArialMT,#000,501,540,423,435,4383,9,P,Document;P
O,I-Alinea,particulière.,6,612,792,ArialMT,#000,108,167,439,451,4399,9,P,Document;P
O,I-Alinea,Un,6,612,792,ArialMT,#000,170,185,439,451,4399,9,P,Document;P
O,I-Alinea,alinéa,6,612,792,ArialMT,#000,189,219,439,451,4399,9,P,Document;P
O,I-Alinea,peut,6,612,792,ArialMT,#000,223,245,439,451,4399,9,P,Document;P
O,I-Alinea,être,6,612,792,ArialMT,#000,249,269,439,451,4399,9,P,Document;P
O,I-Alinea,divisé,6,612,792,ArialMT,#000,272,301,439,451,4399,9,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,304,317,439,451,4399,9,P,Document;P
O,I-Alinea,paragraphes.,6,612,792,ArialMT,#000,321,389,439,451,4399,9,P,Document;P
O,I-Alinea,Un,6,612,792,ArialMT,#000,392,407,439,451,4399,9,P,Document;P
O,I-Alinea,paragraphe,6,612,792,ArialMT,#000,410,470,439,451,4399,9,P,Document;P
O,I-Alinea,est,6,612,792,ArialMT,#000,473,488,439,451,4399,9,P,Document;P
O,I-Alinea,numéroté,6,612,792,ArialMT,#000,492,540,439,451,4399,9,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,108,121,456,468,4416,9,P,Document;P
O,I-Alinea,chiffres,6,612,792,ArialMT,#000,125,162,456,468,4416,9,P,Document;P
O,I-Alinea,arabes.,6,612,792,ArialMT,#000,166,205,456,468,4416,9,P,Document;P
O,I-Alinea,Un,6,612,792,ArialMT,#000,209,224,456,468,4416,9,P,Document;P
O,I-Alinea,paragraphe,6,612,792,ArialMT,#000,228,287,456,468,4416,9,P,Document;P
O,I-Alinea,peut,6,612,792,ArialMT,#000,291,314,456,468,4416,9,P,Document;P
O,I-Alinea,être,6,612,792,ArialMT,#000,318,338,456,468,4416,9,P,Document;P
O,I-Alinea,divisé,6,612,792,ArialMT,#000,342,371,456,468,4416,9,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,375,389,456,468,4416,9,P,Document;P
O,I-Alinea,sous-paragraphes.,6,612,792,ArialMT,#000,393,489,456,468,4416,9,P,Document;P
O,I-Alinea,Un,6,612,792,ArialMT,#000,493,508,456,468,4416,9,P,Document;P
O,I-Alinea,sous-,6,612,792,ArialMT,#000,512,540,456,468,4416,9,P,Document;P
O,I-Alinea,paragraphe,6,612,792,ArialMT,#000,108,167,473,485,4433,9,P,Document;P
O,I-Alinea,est,6,612,792,ArialMT,#000,170,186,473,485,4433,9,P,Document;P
O,I-Alinea,précédé,6,612,792,ArialMT,#000,189,231,473,485,4433,9,P,Document;P
O,I-Alinea,d’une,6,612,792,ArialMT,#000,234,263,473,485,4433,9,P,Document;P
O,I-Alinea,lettre,6,612,792,ArialMT,#000,266,291,473,485,4433,9,P,Document;P
O,I-Alinea,minuscule.,6,612,792,ArialMT,#000,295,350,473,485,4433,9,P,Document;P
O,I-Alinea,Un,6,612,792,ArialMT,#000,353,368,473,485,4433,9,P,Document;P
O,I-Alinea,sous-paragraphe,6,612,792,ArialMT,#000,371,459,473,485,4433,9,P,Document;P
O,I-Alinea,peut,6,612,792,ArialMT,#000,462,485,473,485,4433,9,P,Document;P
O,I-Alinea,être,6,612,792,ArialMT,#000,488,508,473,485,4433,9,P,Document;P
O,I-Alinea,divisé,6,612,792,ArialMT,#000,511,540,473,485,4433,9,P,Document;P
O,I-Alinea,en,6,612,792,ArialMT,#000,108,121,489,501,4449,9,P,Document;P
O,I-Alinea,sous-alinéas.,6,612,792,ArialMT,#000,124,192,489,501,4449,9,P,Document;P
O,I-Alinea,Un,6,612,792,ArialMT,#000,195,210,489,501,4449,9,P,Document;P
O,I-Alinea,sous-alinéa,6,612,792,ArialMT,#000,213,271,489,501,4449,9,P,Document;P
O,I-Alinea,est,6,612,792,ArialMT,#000,274,290,489,501,4449,9,P,Document;P
O,I-Alinea,précédé,6,612,792,ArialMT,#000,292,334,489,501,4449,9,P,Document;P
O,I-Alinea,d’un,6,612,792,ArialMT,#000,337,359,489,501,4449,9,P,Document;P
O,I-Alinea,tiret.,6,612,792,ArialMT,#000,362,384,489,501,4449,9,P,Document;P
O,B-Alinea,L’exemple,6,612,792,ArialMT,#000,108,161,518,530,4478,10,P,Document;P
O,I-Alinea,suivant,6,612,792,ArialMT,#000,164,200,518,530,4478,10,P,Document;P
O,I-Alinea,illustre,6,612,792,ArialMT,#000,203,236,518,530,4478,10,P,Document;P
O,I-Alinea,le,6,612,792,ArialMT,#000,239,248,518,530,4478,10,P,Document;P
O,I-Alinea,mode,6,612,792,ArialMT,#000,251,280,518,530,4478,10,P,Document;P
O,I-Alinea,de,6,612,792,ArialMT,#000,283,296,518,530,4478,10,P,Document;P
O,I-Alinea,division,6,612,792,ArialMT,#000,299,337,518,530,4478,10,P,Document;P
O,I-Alinea,général,6,612,792,ArialMT,#000,340,378,518,530,4478,10,P,Document;P
O,I-Alinea,du,6,612,792,ArialMT,#000,381,394,518,530,4478,10,P,Document;P
O,I-Alinea,présent,6,612,792,ArialMT,#000,397,436,518,530,4478,10,P,Document;P
O,I-Alinea,règlement,6,612,792,ArialMT,#000,439,490,518,530,4478,10,P,Document;P
O,I-Alinea,:,6,612,792,ArialMT,#000,493,496,518,530,4478,10,P,Document;P
O,B-Figure,CHAPITRE,6,612,792,Arial-BoldMT,#000,108,180,546,560,4506,11,P,Document;P
O,I-Figure,1,6,612,792,Arial-BoldMT,#000,183,191,546,560,4506,11,P,Document;P
O,I-Figure,TEXTE,6,612,792,Arial-BoldMT,#000,216,261,546,560,4506,11,P,Document;P
O,I-Figure,1,6,612,792,Arial-BoldMT,#000,265,273,546,560,4506,11,P,Document;P
O,I-Figure,:,6,612,792,ArialMT,#000,276,280,548,560,4508,11,P,Document;P
O,I-Figure,CHAPITRE,6,612,792,ArialMT,#000,324,374,548,560,4508,11,P,Document;P
O,I-Figure,SECTION,6,612,792,ArialMT,#000,108,161,562,574,4522,12,P,Document;P
O,I-Figure,1,6,612,792,ArialMT,#000,165,171,562,574,4522,12,P,Document;P
O,I-Figure,:,6,612,792,ArialMT,#000,175,178,562,574,4522,12,P,Document;P
O,I-Figure,TEXTE,6,612,792,ArialMT,#000,181,220,562,574,4522,12,P,Document;P
O,I-Figure,2,6,612,792,ArialMT,#000,223,230,562,574,4522,12,P,Document;P
O,I-Figure,SECTION,6,612,792,ArialMT,#000,324,368,562,574,4522,12,P,Document;P
O,I-Figure,SOUS-SECTION,6,612,792,ArialMT,#000,108,199,576,588,4536,13,P,Document;P
O,I-Figure,1,6,612,792,ArialMT,#000,203,209,576,588,4536,13,P,Document;P
O,I-Figure,TEXTE,6,612,792,ArialMT,#000,216,255,576,588,4536,13,P,Document;P
O,I-Figure,3,6,612,792,ArialMT,#000,258,265,576,588,4536,13,P,Document;P
O,I-Figure,SOUS-SECTION,6,612,792,ArialMT,#000,324,400,576,588,4536,13,P,Document;P
O,I-Figure,1.,6,612,792,Arial-BoldMT,#000,108,118,590,602,4550,14,P,Document;P
O,I-Figure,TEXTE,6,612,792,Arial-BoldMT,#000,144,183,590,602,4550,14,P,Document;P
O,I-Figure,4,6,612,792,Arial-BoldMT,#000,186,193,590,602,4550,14,P,Document;P
O,I-Figure,ARTICLE,6,612,792,ArialMT,#000,324,366,590,602,4550,14,P,Document;P
O,I-Figure,Texte,6,612,792,ArialMT,#000,144,174,604,616,4564,15,P,Document;P
O,I-Figure,5,6,612,792,ArialMT,#000,177,184,604,616,4564,15,P,Document;P
O,I-Figure,ALINÉA,6,612,792,ArialMT,#000,324,360,604,616,4564,15,P,Document;P
O,I-Figure,1°,6,612,792,ArialMT,#000,144,156,618,630,4578,16,P,Document;P
O,I-Figure,Texte,6,612,792,ArialMT,#000,171,201,618,630,4578,16,P,Document;P
O,I-Figure,6,6,612,792,ArialMT,#000,204,211,618,630,4578,16,P,Document;P
O,I-Figure,PARAGRAPHE,6,612,792,ArialMT,#000,324,392,618,630,4578,16,P,Document;P
O,I-Figure,a),6,612,792,ArialMT,#000,171,182,631,643,4591,17,P,Document;P
O,I-Figure,Texte,6,612,792,ArialMT,#000,189,219,631,643,4591,17,P,Document;P
O,I-Figure,7,6,612,792,ArialMT,#000,222,229,631,643,4591,17,P,Document;P
O,I-Figure,SOUS-PARAGRAPHE,6,612,792,ArialMT,#000,324,423,631,643,4591,17,P,Document;P
O,I-Figure,-,6,612,792,ArialMT,#000,189,193,645,657,4605,18,P,Document;P
O,I-Figure,Texte,6,612,792,ArialMT,#000,207,237,645,657,4605,18,P,Document;P
O,I-Figure,8,6,612,792,ArialMT,#000,240,247,645,657,4605,18,P,Document;P
O,I-Figure,SOUS-ALINÉA,6,612,792,ArialMT,#000,324,390,645,657,4605,18,P,Document;P
O,B-Pied,Codification,6,612,792,ArialMT,#000,72,114,732,740,4692,,Artifact,
O,I-Pied,administrative,6,612,792,ArialMT,#000,116,165,732,740,4692,,Artifact,
O,I-Pied,:,6,612,792,ArialMT,#000,168,170,732,740,4692,,Artifact,
O,I-Pied,18,6,612,792,ArialMT,#000,172,181,732,740,4692,,Artifact,
O,I-Pied,septembre,6,612,792,ArialMT,#000,183,221,732,740,4692,,Artifact,
O,I-Pied,2023,6,612,792,ArialMT,#000,223,241,732,740,4692,,Artifact,
O,I-Pied,Ville,6,612,792,Arial-BoldMT,#000,456,473,732,740,4692,,Artifact,
O,I-Pied,de,6,612,792,Arial-BoldMT,#000,475,484,732,740,4692,,Artifact,
O,I-Pied,Saint-Sauveur,6,612,792,Arial-BoldMT,#000,486,540,732,740,4692,,Artifact,
B-Titre,I-Pied,Règlement,6,612,792,ArialMT,#000,361,400,741,749,4701,,Artifact,
I-Titre,I-Pied,relatif,6,612,792,ArialMT,#000,402,422,741,749,4701,,Artifact,
I-Titre,I-Pied,aux,6,612,792,ArialMT,#000,424,437,741,749,4701,,Artifact,
I-Titre,I-Pied,conditions,6,612,792,ArialMT,#000,439,475,741,749,4701,,Artifact,
I-Titre,I-Pied,de,6,612,792,ArialMT,#000,477,486,741,749,4701,,Artifact,
I-Titre,I-Pied,délivrance,6,612,792,ArialMT,#000,488,525,741,749,4701,,Artifact,
I-Titre,I-Pied,des,6,612,792,ArialMT,#000,527,540,741,749,4701,,Artifact,
I-Titre,I-Pied,permis,6,612,792,ArialMT,#000,394,418,750,758,4710,,Artifact,
I-Titre,I-Pied,de,6,612,792,ArialMT,#000,421,429,750,758,4710,,Artifact,
I-Titre,I-Pied,construction,6,612,792,ArialMT,#000,432,475,750,758,4710,,Artifact,
I-Titre,I-Pied,numéro,6,612,792,ArialMT,#000,477,504,750,758,4710,,Artifact,
I-Titre,I-Pied,227-2008,6,612,792,ArialMT,#000,506,540,750,758,4710,,Artifact,
O,I-Pied,Chapitre,6,612,792,ArialMT,#000,286,316,760,768,4720,,Artifact,
O,I-Pied,1,6,612,792,ArialMT,#000,319,323,760,768,4720,,Artifact,
O,I-Pied,:,6,612,792,ArialMT,#000,325,328,760,768,4720,,Artifact,
O,I-Pied,Dispositions,6,612,792,ArialMT,#000,330,373,760,768,4720,,Artifact,
O,I-Pied,"déclaratoires,",6,612,792,ArialMT,#000,375,423,760,768,4720,,Artifact,
O,I-Pied,interprétatives,6,612,792,ArialMT,#000,425,476,760,768,4720,,Artifact,
O,I-Pied,et,6,612,792,ArialMT,#000,478,484,760,768,4720,,Artifact,
O,I-Pied,administratives,6,612,792,ArialMT,#000,487,540,760,768,4720,,Artifact,
O,B-Tete,1-3,7,612,792,TimesNewRomanPSMT,#000,524,540,37,49,4789,,Artifact,
O,B-Article,11.,7,612,792,Arial-BoldMT,#000,72,89,74,86,4826,0,P,Document;H3
O,I-Article,TERMINOLOGIE,7,612,792,Arial-BoldMT,#000,108,201,74,86,4826,0,P,Document;H3
O,B-Alinea,Pour,7,612,792,ArialMT,#000,108,133,96,108,4848,1,P,Document;P
O,I-Alinea,l’interprétation,7,612,792,ArialMT,#000,136,207,96,108,4848,1,P,Document;P
O,I-Alinea,du,7,612,792,ArialMT,#000,210,223,96,108,4848,1,P,Document;P
O,I-Alinea,présent,7,612,792,ArialMT,#000,226,265,96,108,4848,1,P,Document;P
